Owner ID,Name,Owner Name,Roster ID,Players,Draft Picks,Avg Age,KTC Total Player Value,KTC Starter Value,KTC Bench Value,KTC Draft Pick Value,Long-Term Draft Pick Value,KTC Total
672674056419475456,Joe,jwalwer81,5,35,9,25.54285714,130679,58264,72415,0,0,130679
456973480269705216,Lucas,lalder,1,40,16,26.25,122422,63899,58523,0,0,122422
685016525362532352,James,jalder64,8,35,21,26.57142857,85683,48866,36817,0,0,85683
695679507511701504,Luc,LucDart,9,36,6,26.86111111,72211,47168,25043,0,0,72211
600829464699531264,Jordan,Schoontang,3,28,12,26.21428571,71265,42370,28895,0,0,71265
684926809061519360,Ricky,Rickythemer,7,33,8,26.96969697,65685,40435,25250,0,0,65685
904564574664355840,Tom,SnackDaddy2907,4,31,13,27.83870968,64689,36623,28066,0,0,64689
913497379737829376,Jeremy,aintEZBNwheezE,6,37,27,26.62162162,63803,28613,35190,0,0,63803
717639328456572928,Matt,mlthomas5095,12,35,26,26.54285714,59425,36597,22828,0,0,59425
987845662731558912,Tristan,Twest1,2,35,13,27.62857143,55241,34339,20902,0,0,55241
698423543452479488,Alex,iisstupids,11,28,18,27.71428571,46131,32512,13619,0,0,46131
696154532161347584,Shane,Delusional1,10,30,11,26.8,42137,27843,14294,0,0,42137
,,,,403,,,879371,497529,381842,0,0,879371
