Pick,Owner,QB Rank,WR Rank,RB Rank,TE Rank,Starting Priority,Max Tier Remaining,"Optimal
Pick 1","Optimal
Pick 2","Optimal
Pick 3","Optimal
Pick 4",SELECTION,POSITION,TEAM
1.01,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Bijan Robinson,RB,TEX
1.02,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Bryce Young,QB,ALA
1.03,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,CJ Stroud,QB,OSU
1.04,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jahmyr Gibbs,RB,ALA
1.05,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jaxon Smith-Njigba,WR,OSU
1.06,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Will Levis,QB,UK
1.07,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jordan Addison,WR,USC
1.08,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Quentin Johnston,WR,TCU
1.09,#REF!,3.4,11.2,7.3,1.1,"WR, RB, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Michael Mayer,TE,ND
1.10,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Anthony Richardson,QB,FLA
1.11,#REF!,12.4,9.2,12.3,11.1,"QB, RB, TE, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Sean Tucker,RB,SYR
1.12,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Zach Evans,RB,MISS
2.01,#REF!,1.4,1.2,1.3,5.1,"TE, QB, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Tank Bigsby,RB,AUB
2.02,#REF!,2.4,3.2,2.3,2.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Zach Charbonnet,RB,UCLA
2.03,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Josh Downs,WR,UNC
2.04,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Nicholas Singleton,RB,PSU
2.05,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Braelon Allen,RB,WIS
2.06,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Blake Corum,RB,MICH
2.07,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jalin Hyatt,WR,TENN
2.08,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Devon Achane,RB,TA&M
2.09,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Donovan Edwards,RB,MICH
2.10,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Marvin Mims Jr,WR,OKLA
2.11,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Zay Flowers,WR,BC
2.12,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Darnell Washington,TE,UGA
3.01,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Kendall Milton,RB,UGA
3.02,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jermaine Burton,WR,ALA
3.03,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jase McClellan,RB,ALA
3.04,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Julian Fleming,WR,OSU
3.05,#REF!,8.4,8.2,5.3,7.1,"QB, WR, TE, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Rakim Jarrett,WR,MD
3.06,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Kendre Miller,RB,TCU
3.07,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Branson Robinson,RB,UGA
3.08,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Eric Gray,RB,OKLA
3.09,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Joseph Ngata,WR,CLEM
3.10,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Arik Gilbert,TE,UGA
3.11,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jaxson Dart,QB,MISS
3.12,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Parker Washington,WR,PSU
4.01,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jadon Haselwood,WR,ARK
4.02,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,DJ Uiagalelei,QB,ORST
4.03,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,John Emery Jr,RB,LSU
4.04,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Spencer Rattler,QB,SC
4.05,#REF!,8.4,8.2,5.3,7.1,"QB, WR, TE, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Trey Sanders,RB,TCU
4.06,#REF!,7.4,7.2,11.3,4.1,"RB, QB, WR, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Kedon Slovis,QB,PITT
4.07,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Tyler Van Dyke,QB,MIAMI
4.08,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jalon Daniels,QB,KU
4.09,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Demarkcus Bowman,RB,UCF
4.10,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Marshawn Lloyd,RB,USC
4.11,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,EJ Williams,WR,CLEM
4.12,#REF!,11.4,4.2,6.3,10.1,"QB, TE, RB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Ainias Smith,WR,TA&M
5.01,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Frank Ladson Jr,WR,MIAMI
5.02,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,JT Daniels,QB,RICE
5.03,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Garrett Miller,TE,PUR
5.04,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Payne Durham,TE,PUR
5.05,#REF!,10.4,12.2,8.3,8.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jaylon Barden,WR,GASO
5.06,#REF!,3.4,11.2,7.3,1.1,"WR, RB, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jake McConnachie,WR,PITT
5.07,#REF!,6.4,10.2,10.3,6.1,"RB, WR, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,Jalen Berger,RB,MSU
5.08,#REF!,4.4,5.2,3.3,3.1,"WR, QB, RB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,TJ Sheffield,WR,PUR
5.09,#REF!,3.4,11.2,7.3,1.1,"WR, RB, QB, TE",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,SaRodorick Thompson Jr,RB,TTU
5.10,#REF!,5.4,2.2,9.3,12.1,"TE, RB, QB, WR",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,George Holani,RB,BSU
5.11,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,???,#REF!,#REF!
5.12,#REF!,9.4,6.2,4.3,9.1,"QB, TE, WR, RB",Tier 1,#N/A,#NUM!,#NUM!,#NUM!,???,#REF!,#REF!
