KTC_Rank,Pick,DraftedByLookup,Name,Position,Team,PositionRank,PositionTier,Tier,Value,,,,Pick,Owner,QB Rank,WR Rank,RB Rank,TE Rank,Starting Priority,Max Tier Remaining,"Optimal
Pick 1","Optimal
Pick 2","Optimal
Pick 3","Optimal
Pick 4",SELECTION,POSITION,TEAM,,,QB (Top 3),,,,WR (Top 5),,,,RB (Top 5),,,,TE (Top 5),,,,,"Thursday, September 19, 2024",,,,,,,,,,,,,,,,,,,MockYear,,,,Ineligible Players,,,,,,,,KTC_Rank,Pick,DraftedByLookup,Name,Position,Team,PositionRank,PositionTier,Tier,Value,DraftYear,,,,,Draft Results,,,,,,,,Alternate names,
1,,0,CJ Stroud,QB,HOU,QB3,QB1,Tier 1,9426,,,,1.01,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Tetairoa McMillan,WR,ARIZ,,NAME,QB SCORE,QB DRAFTED,QB SCORE2,QB RANK,WR SCORE,WR DRAFTED,WR SCORE2,WR RANK,RB SCORE,RB DRAFTED,RB SCORE2,RB RANK,TE SCORE,TE DRAFTED,TE SCORE2,TE RANK,,ROUND 1,,,ROUND 2,,,ROUND 3,,,ROUND 4,,,ROUND 5,,,,,,,2025,,,,Name,UnlockDate,,,,,,,1,Jeremy (1.01),Jeremy,Tetairoa McMillan,WR,ARIZ,WR,0,1,9999,2025,,,,,round,pick_no,player_id,Pick,Name,,,,Alternate names,Real Name
2,,0,Bijan Robinson,RB,ATL,RB1,RB2,Tier 2,7159,,,,1.02,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Luther Burden III,WR,MIZ,,Lucas,22451,10767,33218,1,32131,0,32131,1,29106,8641,37747,2,8043,0,8043,7,,Pick,Owner,SELECTION,Pick,Owner,SELECTION,Pick,Owner,SELECTION,Pick,Owner,SELECTION,Pick,Owner,SELECTION,,,,,,,,,,,,,,,,,2,X,X,Jeremiah Smith,WR,OSU,WR,0,1,9971,2027,,,,,1,1,11560,,,,,,Ken Walker,Kenneth Walker
3,,0,Anthony Richardson,QB,IND,QB8,QB2,Tier 2,7094,,,,1.03,Joe,5.4,4.2,1.3,2.1,"QB, WR, TE, RB",#N/A,#N/A,#N/A,#N/A,#N/A,Ashton Jeanty,RB,BSU,,Jordan,12882,0,12882,10,14534,16079,30613,3,19694,0,19694,6,8004,0,8004,8,,1.01,Jeremy,Tetairoa McMillan,2.01,Matt,Trevor Etienne,3.01,Matt,Matthew Golden,4.01,Matt,Oscar Delp,5.01,Matt,???,,,,,,,,,,,,,,,,,3,Alex (1.02),Alex,Luther Burden III,WR,MIZ,WR,0,1,9786,2025,,,,,1,2,11628,,,,,,,
4,,0,Jahmyr Gibbs,RB,DET,RB3,RB2,Tier 2,6914,,,,1.04,Jordan,10.4,3.2,6.3,8.1,"QB, TE, RB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Emeka Egbuka,WR,OSU,,Joe,18752,0,18752,5,27789,0,27789,4,21889,16137,38026,1,16360,0,16360,2,,,(via Matt),"Wide Receiver, ARIZ",,,"Running Back, UGA",,,"Wide Receiver, TEX",,,"Tight End, UGA",,,#N/A,,,,,,,,,,,,,,,,,4,X,X,Arch Manning,QB,TEX,QB,0,2,9318,2026,,,,,1,3,11604,,,,,,,
5,,0,Puka Nacua,WR,LAR,WR7,WR2,Tier 2,6657,,,,1.05,Alex,4.4,2.2,9.3,11.1,"TE, RB, QB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Quinn Ewers,QB,TEX,,Ricky,13791,0,13791,9,20622,0,20622,10,3643,0,3643,12,11239,0,11239,4,,1.02,Alex,Luther Burden III,2.02,Alex,Nicholas Singleton,3.02,Alex,Branson Robinson,4.02,Alex,Dylan Sampson,5.02,Alex,???,,,,,,,,,,,,,,,,,5,Joe (1.03),Joe,Ashton Jeanty,RB,BSU,RB,0,2,9277,2025,,,,,1,4,11566,,,,,,,
6,,0,Sam LaPorta,TE,DET,TE1,TE2,Tier 2,6410,,,,1.06,Luc,11.4,7.2,10.3,5.1,"QB, RB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Carson Beck,QB,UGA,,James,18918,5718,24636,2,14791,0,14791,11,23029,13438,36467,3,6403,0,6403,10,,,,"Wide Receiver, MIZ",,,"Running Back, PSU",,,"Running Back, UGA",,,"Running Back, TENN",,,#N/A,,,,,,,,,,,,,,,,,6,James (1.07),James,Quinshon Judkins,RB,OSU,RB,0,3,8579,2025,,,,,1,5,11620,,,,,,,
7,,0,De'Von Achane,RB,MIA,RB7,RB3,Tier 3,5364,,,,1.07,James,2.4,11.2,3.3,10.1,"WR, TE, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,Quinshon Judkins,RB,OSU,,Luc,4000,8487,12487,11,25754,0,25754,7,15481,0,15481,10,9368,0,9368,5,,1.03,Joe,Ashton Jeanty,2.03,Joe,Omarion Hampton,3.03,Lucas,Jordan James,4.03,Shane,Devin Brown,5.03,Shane,???,,,,,,,,,,,,,,,,,7,X,X,Marvin Harrison Jr.,WR,ARI,WR,0,1,8519,,,,,,1,6,11564,,,,,,,
8,,0,Zay Flowers,WR,BAL,WR12,WR3,Tier 3,5314,,,,1.08,Jeremy,6.4,5.2,7.3,1.1,"RB, QB, WR, TE",#N/A,#N/A,#N/A,#N/A,#N/A,Ollie Gordon II,RB,OKST,,Shane,6823,740,7563,12,10694,1471,12165,12,13925,0,13925,11,3168,0,3168,12,,,(via Shane),"Running Back, BSU",,(via Shane),"Running Back, UNC",,(via Shane),"Running Back, ORE",,,"Quarterback, OSU",,,#N/A,,,,,,,,,,,,,,,,,8,Alex (1.05),Alex,Quinn Ewers,QB,TEX,QB,0,3,8516,2025,,,,,1,7,11632,,,,,,,
9,,0,Tank Dell,WR,HOU,WR14,WR3,Tier 3,5218,,,,1.09,Jordan,10.4,3.2,6.3,8.1,"QB, TE, RB, WR",#N/A,#N/A,#N/A,#N/A,#N/A,Evan Stewart,WR,ORE,,Alex,6224,16101,22325,4,16707,14344,31051,2,5366,10972,16338,9,4014,0,4014,11,,1.04,Jordan,Emeka Egbuka,2.04,Tristan,Drew Allar,3.04,Matt,Riley Leonard,4.04,Ricky,???,5.04,Ricky,???,,,,,,,,,,,,,,,,,9,Luc (1.06),Luc,Carson Beck,QB,UGA,QB,0,3,8487,2025,,,,,1,8,11565,,,,,,,
10,,0,Jordan Addison,WR,MIN,WR15,WR3,Tier 3,5211,,,,1.10,Matt,3.4,6.2,4.3,9.1,"TE, WR, RB, QB",#N/A,#N/A,#N/A,#N/A,#N/A,TreVeyon Henderson,RB,OSU,,Matt,10192,12893,23085,3,16252,10697,26949,6,7369,14915,22284,4,6259,1034,7293,9,,,(via Ricky),"Wide Receiver, OSU",,(via Ricky),"Quarterback, PSU",,(via Ricky),"Quarterback, ND",,,#N/A,,,#N/A,,,,,,,,,,,,,,,,,10,Jeremy (1.08),Jeremy,Ollie Gordon II,RB,OKST,RB,0,3,8361,2025,,,,,1,9,11624,,,,,,,
