Name,PlayerID,Position,Team,Age,Height,Weight,DraftRound,DraftPick,Value,RookieTier,College
Kyle McCord,1738,QB,PHI,22.7,"6' 3""",218,6,5,989,Tier 18,draftYear:2025
Efton Chism,1838,WR,NEP,-1.0,"5' 10""",198,0,0,852,Tier 19,Eastern Washington
Kalel Mullings,1750,RB,TEN,22.7,"6' 2""",226,6,12,839,Tier 19,draftYear:2025
Ashton Jeanty,1742,RB,LVR,21.5,"5' 8""",211,1,6,7820,Tier 1,draftYear:2025
Isaiah Bond,1776,WR,FA,-1.0,"5' 11""",180,0,0,767,Tier 19,Texas
Luke Lachey,1811,TE,HOU,24.0,"6' 6""",247,7,39,767,Tier 19,draftYear:2025
Jordan Watkins,1817,WR,SFO,23.3,"5' 11""",196,4,36,664,Tier 19,draftYear:2025
Omarion Hampton,1744,RB,LAC,22.2,"6' 0""",220,1,22,6151,Tier 2,draftYear:2025
Travis Hunter,1774,WR,JAC,22.1,"6' 1""",185,1,2,5791,Tier 2,draftYear:2025
Tetairoa McMillan,1771,WR,CAR,22.2,"6' 5""",212,1,8,5672,Tier 2,draftYear:2025
TreVeyon Henderson,1743,RB,NEP,22.6,"5' 10""",202,2,6,5467,Tier 2,draftYear:2025
Cam Ward,1730,QB,TEN,23.0,"6' 2""",219,1,1,5432,Tier 2,draftYear:2025
Quinshon Judkins,1751,RB,CLE,21.6,"5' 11""",221,2,4,5305,Tier 2,draftYear:2025
Emeka Egbuka,1781,WR,TBB,22.7,"6' 0""",202,1,19,4830,Tier 3,draftYear:2025
Kaleb Johnson,1748,RB,PIT,21.8,"6' 1""",224,3,19,4711,Tier 3,draftYear:2025
