Team,Current,+1 Year,+2 Years,+3 Years
Lucas,131087,143452.0016,148149.3647,151992.6354
Joe,122694,145706.034,152100.2154,151839.8283
James,79035,88874.7268,87202.9316,86976.05765
Jeremy,82356,84593.03975,91037.14457,86981.1245
Luc,79916,95521.73221,100974.9054,98030.11938
Jordan,60876,92400.62706,100383.5701,102511.9627
Tom,81280,81864.35893,74515.38328,67766.59063
Tristan,65224,67084.93122,64973.14917,61311.12981
Alex,38308,50796.93709,66701.18595,74390.42741
Matt,28142,38427.43277,42075.03169,41347.47961
Ricky,60651,74781.93227,75260.95169,75589.18554
Shane,55453,65536.54669,72615.07004,72834.46885
